IPA Number,Symbol,Symbol Name,Description,Height,Backness,Rounding,Status,UCS Code,AFII Code
301,i,lower-case I,,close,front,unrounded,,0069,E251
302,e,lower-case E,,close-mid,front,unrounded,,0065,E256
303,ɛ,epsilon,,open-mid,front,unrounded,,025B,E258
304,a,lower-case A,,open,front,unrounded,,0061,E25B
305,ɑ,script A,,open,back,unrounded,,0251,E26C
306,ɔ,open O,,open-mid,back,rounded,,0254,E26B
307,o,lower-case O,,close-mid,back,rounded,,006F,E269
308,u,lower-case U,,close,back,rounded,,0075,E265
309,y,lower-case Y,,close,front,rounded,,0079,E252
310,ø,slashed O,,close-mid,front,rounded,,00F8,E257
311,œ,lower-case O-E ligature,,open-mid,front,rounded,,0153,E259
312,ɶ,small capital O-E ligature,,open,front,rounded,,0276,E25C
313,ɒ,turned script A,,open,back,rounded,,0252,E26D
314,ʌ,turned V,,open-mid,back,unrounded,,028C,E26A
315,ɤ,ram’s horns,,close-mid,back,unrounded,,0264,E268
316,ɯ,turned M,,close,back,undounded,,026F,E264
317,ɨ,barred I,,close,central,unrounded,,0268,E25D
318,ʉ,barred U,,close,central,rounded,,0289,E25E
319,ɪ,small capital I,,near-close,near-front,unrounded,,026A,E254
320,ʏ,small capital Y,,near-close,near-front,rounded,,028F,E255
321,ʊ,upsilon,,near-close,near-back,rounded,,028A,E267
322,ə,schwa,,mid,central,,,0259,E25F
323,ɵ,barred O,,close-mid,central,rounded,,0275,E261
324,ɐ,turned A,,near-open,central,,,0250,E263
325,æ,ash;lower-case A-E ligature,,near-open,front,unrounded,,00E6,E25A
326,ɜ,reversed epsilon,,open-mid,central,unrounded,,025C,E262
327,ɚ,right-hook schwa,R-coloured,mid,central,,equivalent to 322+419,025A,E260
394,ı,undotted I,,,,,not IPA usage,0131,00F5
395,ɞ,closed reversed epsilon,,open-mid,central,rounded,,025E,E270
396,ʚ,closed epsilon,,open-mid,central,rounded,superceded by 395 (1996),029A,E273
397,ɘ,reversed E,,close-mid,central,unrounded,,0258,E26E
398,ɷ,closed omega,,near-close,near-back,rounded,superceded by 321 (1989),0277,E266
399,ɩ,iota,,near-close,near-front,unrounded,superceded by 319 (1989),0269,E253
